테스트ID,테스트항목,테스트목적,입력데이터,예상결과,실제결과,상태(Pass/Fail),비고
TC-001,회원가입,중복되지 않은 ID로 가입 가능 여부 확인,"username=test1, pw=1234",회원가입 성공,성공,Pass,
TC-002,회원가입,중복된 ID 입력 시 실패,username=test1,이미 존재하는 사용자명,성공,Pass,
TC-003,로그인,정상 로그인 확인,"username=test1, pw=1234",대시보드 이동,성공,Pass,
TC-004,로그인,잘못된 비밀번호 입력 시 실패,"username=test1, pw=wrong",오류 메시지,성공,Pass,
TC-005,마이페이지,소개글 수정 기능 동작 여부,bio=hello world,수정된 소개글 저장,성공,Pass,수정시 완료문구 추가
TC-006,마이페이지,비밀번호 변경 - 정상 케이스,"cur_pw=1234, new_pw=abcd",비밀번호 변경 성공,성공,Pass,
TC-007,마이페이지,비밀번호 변경 - 현재 비번 틀림,"cur_pw=wrong, new_pw=abcd",변경 거부,성공,Pass,
TC-008,상품등록,정상 상품 등록,"title=노트북, 가격=10000",상품 목록에 표시,성공,Pass,
TC-009,내 상품 보기,내가 등록한 상품만 출력 확인,내 계정으로 접속,등록한 상품만 표시,성공,Pass,
TC-010,상품 상세,상품 클릭 시 상세 페이지 이동,상품 클릭,상품 상세정보 표시,성공,Pass,
TC-011,상품 신고,상품 신고 3회 시 차단 여부,3회 신고,상세보기 차단,성공,Pass,
TC-012,유저 신고,유저 신고 5회 시 휴면 전환,5회 신고,로그인 차단,실패,,
TC-013,전체 채팅,실시간 채팅 메시지 송수신,2계정 연결,메시지 표시,,,
TC-014,1:1 채팅,1:1 채팅 송수신 동작,A→B 채팅,개별 메시지 표시,,,
TC-015,송금,유저 간 송금 성공,"to=test2, amount=500",잔액 이동,,,
TC-016,송금,자기 자신 송금 방지,to=self,실패 메시지,,,
TC-017,관리자 페이지,admin 계정으로 /admin 접근,admin 계정 로그인,관리자 대시보드 표시,,,
